id,clave,name,descripcion
__export__.unidadesmedida_H65,H65,millilitre per cubic metre,
__export__.unidadesmedida_H83,H83,litre per kilogram,
__export__.unidadesmedida_KX,KX,millilitre per kilogram,
__export__.unidadesmedida_H15,H15,square centimetre per gram,
__export__.unidadesmedida_N28,N28,cubic decimetre per kilogram,"0,001 fold of the power of the SI base unit meter by exponent 3 divided by the SI based unit kilogram."
__export__.unidadesmedida_N29,N29,cubic foot per pound,Power of the unit foot according to the Anglo-American and Imperial system of units by exponent 3 divided by the unit avoirdupois pound according to the avoirdupois unit system.
__export__.unidadesmedida_N30,N30,cubic inch per pound,Power of the unit inch according to the Anglo-American and Imperial system of units by exponent 3 divided by the avoirdupois pound according to the avoirdupois unit system .
__export__.unidadesmedida_KL,KL,kilogram per metre,
__export__.unidadesmedida_GF,GF,gram per metre (gram per 100 centimetres),
__export__.unidadesmedida_H76,H76,gram per millimetre,
__export__.unidadesmedida_KW,KW,kilogram per millimetre,
__export__.unidadesmedida_C12,C12,milligram per metre,
__export__.unidadesmedida_M31,M31,kilogram per kilometre,
__export__.unidadesmedida_P2,P2,pound per foot,
__export__.unidadesmedida_PO,PO,pound per inch of length,
__export__.unidadesmedida_M83,M83,denier ,Traditional unit for the indication of the linear mass of textile fibers and yarns.
__export__.unidadesmedida_M84,M84,pound per yard ,Unit for linear mass according to avoirdupois system of units.
__export__.unidadesmedida_GO,GO,milligram per square metre,
__export__.unidadesmedida_25,25,gram per square centimetre,
__export__.unidadesmedida_H63,H63,milligram per square centimetre,
__export__.unidadesmedida_GM,GM,gram per square metre,
__export__.unidadesmedida_28,28,kilogram per square metre,
__export__.unidadesmedida_D5,D5,kilogram per square centimetre,
__export__.unidadesmedida_ON,ON,ounce per square yard,
__export__.unidadesmedida_37,37,ounce per square foot,
__export__.unidadesmedida_B31,B31,kilogram metre per second,
__export__.unidadesmedida_M98,M98,kilogram centimetre per second,"Product of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
__export__.unidadesmedida_M99,M99,gram centimetre per second,"Product of the 0,001-fold of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
__export__.unidadesmedida_N10,N10,pound foot per second,Product of the avoirdupois pound according to the avoirdupois unit system and the unit foot according to the Anglo-American and Imperial system of units divided by the SI base unit second.
__export__.unidadesmedida_N11,N11,pound inch per second,Product of the avoirdupois pound according to the avoirdupois unit system and the unit inch according to the Anglo-American and Imperial system of units divided by the SI base unit second.
__export__.unidadesmedida_B33,B33,kilogram metre squared per second,
__export__.unidadesmedida_B32,B32,kilogram metre squared,
__export__.unidadesmedida_F20,F20,pound inch squared,
