id,clave,name
__export__.prodserv_10171611,10171611,Fertilizante de calcio
__export__.prodserv_10171700,10171700,Herbicidas
__export__.prodserv_10171701,10171701,Matamalezas
__export__.prodserv_10171702,10171702,Fungicidas
__export__.prodserv_10171800,10171800,Acondicionadores de suelos
__export__.prodserv_10171801,10171801,Acondicionador orgánico de suelos
__export__.prodserv_10171802,10171802,Acondicionador inorgánico de suelos
__export__.prodserv_10191500,10191500,Pesticidas o repelentes de plagas
__export__.prodserv_10191506,10191506,Mata – roedores
__export__.prodserv_10191507,10191507,Repelentes de aves
__export__.prodserv_10191508,10191508,Protectores contra termitas
__export__.prodserv_10191509,10191509,Insecticidas
__export__.prodserv_10191510,10191510,Abamectina
__export__.prodserv_10191511,10191511,Fipronil
__export__.prodserv_10191700,10191700,Dispositivos para control de plagas
__export__.prodserv_10191701,10191701,Trampas para control animal
__export__.prodserv_10191703,10191703,Trampas para el control de insectos voladores
__export__.prodserv_10191704,10191704,Matamoscas
__export__.prodserv_10191705,10191705,Lazos
__export__.prodserv_10191706,10191706,Cepos
__export__.prodserv_10191707,10191707,Repelente ultrasónico de pestes
__export__.prodserv_10201500,10201500,Rosales vivos azules o lavanda o púrpura
__export__.prodserv_10201501,10201501,Rosal vivo allure o sterling 95
__export__.prodserv_10201502,10201502,Rosal vivo amnesia
__export__.prodserv_10201503,10201503,Rosal vivo augusta louise
__export__.prodserv_10201504,10201504,Rosal vivo avant garde
__export__.prodserv_10201505,10201505,Rosal vivo blue bird
__export__.prodserv_10201506,10201506,Rosal vivo curiosa
__export__.prodserv_10201507,10201507,Rosal vivo cool water
__export__.prodserv_10201508,10201508,Rosal vivo delilah
__export__.prodserv_10201509,10201509,Rosal vivo double party
__export__.prodserv_10201510,10201510,Rosal vivo faith
__export__.prodserv_10201511,10201511,Rosal vivo mami blue o mammy blue
__export__.prodserv_10201512,10201512,Rosal vivo marítimo
__export__.prodserv_10201513,10201513,Rosal vivo milano
__export__.prodserv_10201514,10201514,Rosal vivo mistery
__export__.prodserv_10201515,10201515,Rosal vivo ocean song o boyfriend
__export__.prodserv_10201516,10201516,Rosal vivo cezanne púrpura
__export__.prodserv_10201517,10201517,Rosal vivo purple fragrance
